date,open,high,low,close,adjusted_close,volume,symbol
2025-01-21,224.0,224.42,219.38,222.64,221.8524,98070400,AAPL.US
2025-01-22,219.79,224.12,219.79,223.83,223.0382,64126500,AAPL.US
2025-01-23,224.74,227.03,222.3,223.66,222.8688,60234800,AAPL.US
2025-01-24,224.78,225.63,221.41,222.78,221.9919,54697900,AAPL.US
2025-01-27,224.02,232.15,223.98,229.86,229.0469,94863400,AAPL.US
2025-01-28,230.85,240.19,230.81,238.26,237.4172,75707600,AAPL.US
2025-01-29,234.12,239.86,234.01,239.36,238.5133,45486100,AAPL.US
2025-01-30,238.67,240.79,237.21,237.59,236.7496,55658300,AAPL.US
2025-01-31,247.19,247.19,233.44,236.0,235.1652,100959800,AAPL.US
2025-02-03,229.99,231.83,225.7,228.01,227.2034,73063300,AAPL.US
2025-02-04,227.25,233.13,226.65,232.8,231.9765,45067300,AAPL.US
2025-02-05,228.53,232.67,228.27,232.47,231.6477,39620300,AAPL.US
2025-02-06,231.29,233.8,230.43,233.22,232.395,29925300,AAPL.US
2025-02-07,232.6,234.0,227.26,227.63,226.8248,39707200,AAPL.US
2025-02-10,229.57,230.59,227.2,227.65,227.0941,33115600,AAPL.US
2025-02-11,228.2,235.23,228.13,232.62,232.052,53718400,AAPL.US
2025-02-12,231.2,236.96,230.68,236.87,236.2916,45243300,AAPL.US
2025-02-13,236.91,242.34,235.57,241.53,240.9402,53614100,AAPL.US
2025-02-14,241.25,245.55,240.99,244.6,244.0027,40896200,AAPL.US
2025-02-18,244.15,245.18,241.84,244.47,243.8731,48822500,AAPL.US
2025-02-19,244.66,246.01,243.16,244.87,244.2721,32204200,AAPL.US
2025-02-20,244.94,246.78,244.29,245.83,245.2297,32316900,AAPL.US
2025-02-21,245.95,248.69,245.22,245.55,244.9504,53197400,AAPL.US
2025-02-24,244.93,248.86,244.42,247.1,246.4966,51326400,AAPL.US
2025-02-25,248.0,250.0,244.91,247.04,246.4368,48013300,AAPL.US
2025-02-26,244.33,244.98,239.13,240.36,239.7731,44433600,AAPL.US
2025-02-27,239.41,242.46,237.06,237.3,236.7206,41153600,AAPL.US
2025-02-28,236.95,242.09,230.2,241.84,241.2495,56833400,AAPL.US
2025-03-03,241.79,244.03,236.11,238.03,237.4488,47184000,AAPL.US
